  平山 117000 河北,石家庄,平山 38.265728 113.979200 101090111    
  元氏 051130 河北,石家庄,元氏 37.766651 114.525580 101090112    
  赵县 051530 河北,石家庄,赵县 37.756430 114.776185 101090113    
  辛集 052360 河北,石家庄,辛集 37.943123 115.218021 101090114    
  藁城 052160 河北,石家庄,藁城 38.021567 114.847075 101090115    
  晋州 052200 河北,石家庄,晋州 38.020838 115.031981 101090116    
  新乐 050700 河北,石家庄,新乐 38.343296 114.684014 101090117    
  鹿泉 050200 河北,石家庄,鹿泉 38.085930 114.313672 101090118    
  保定 071000 河北,保定,保定 38.873891 115.464806 101090201    
  满城 072150 河北,保定,满城 38.948969 115.322292 101090202    
  阜平 073200 河北,保定,阜平 38.844908 114.199675 101090203    
  徐水 072550 河北,保定,徐水 39.018557 115.655870 101090204    
  唐县 072350 河北,保定,唐县 38.748276 114.982574 101090205    
  高阳 071500 河北,保定,高阳 38.689897 115.780626 101090206    
  容城 071700 河北,保定,容城 39.042794 115.861657 101090207    
  涞源 074300 河北,保定,涞源 39.360242 114.694263 101090209    
  望都 072450 河北,保定,望都 38.708978 115.155519 101090210    
  安新 071600 河北,保定,安新 38.935356 115.935668 101090211    
  易县 074200 河北,保定,易县 39.349524 115.497445 101090212    
  曲阳 073100 河北,保定,曲阳 38.621762 114.704561 101090214    
  蠡县 071400 河北,保定,蠡县 38.490141 115.575877 101090215    
  顺平 072250 河北,保定,顺平 38.844552 115.132617 101090216    
  雄县 071800 河北,保定,雄县 38.994536 116.108879 101090217    
  涿州 072750 河北,保定,涿州 39.485284 115.974365 101090218    
  定州 073000 河北,保定,定州 38.516168 114.990251 101090219    
  安国 071200 河北,保定,安国 38.418450 115.326648 101090220    
  高碑店 074000 河北,保定,高碑店 39.326521 115.873758 101090221    
  涞水 074100 河北,保定,涞水 39.394284 115.713868 101090222    
  定兴 072650 河北,保定,定兴 39.263016 115.808208 101090223    
  清苑 071100 河北,保定,清苑 38.771863 115.494287 101090224    
  博野 071300 河北,保定,博野 38.457432 115.464402 101090225    
  张家口 075000 河北,张家口,张家口 40.824418 114.887543 101090301    
  宣化 075100 河北,张家口,宣化 40.608607 115.065615 101090302    
  张北 076450 河北,张家口,张北 41.158557 114.720086 101090303    
  康保 076650 河北,张家口,康保 41.852426 114.600402 101090304    
  沽源 076550 河北,张家口,沽源 41.669668 115.688692 101090305    
  尚义 076750 河北,张家口,尚义 41.075908 113.969140 101090306    
  蔚县 075700 河北,张家口,蔚县 39.840843 114.588903 101090307    
  阳原 075800 河北,张家口,阳原 40.103574 114.150307 101090308    
  怀安 076150 河北,张家口,怀安 40.674193 114.385792 101090309    
  万全 076250 河北,张家口,万全 40.766898 114.740560 101090310    
  怀来 075400 河北,张家口,怀来 40.415343 115.517862 101090311    
  涿鹿 075600 河北,张家口,涿鹿 40.379790 115.219552 101090312    
  赤城 075500 河北,张家口,赤城 40.912921 115.831499 101090313    
  崇礼 076350 河北,张家口,崇礼 40.974676 115.282669 101090314    
